tiempo_llegada
2024-05-01 00:03:13.023064137
2024-05-01 00:03:16.727134466
2024-05-01 00:06:34.305840969
2024-05-01 00:07:26.552359104
2024-05-01 00:07:51.113345623
2024-05-01 00:08:44.717864752
2024-05-01 00:11:20.788324118
2024-05-01 00:11:38.648227453
2024-05-01 00:11:53.663347483
2024-05-01 00:12:10.102075815
2024-05-01 00:14:24.823757172
2024-05-01 00:15:45.262164116
2024-05-01 00:16:35.672656298
2024-05-01 00:16:45.919418812
2024-05-01 00:17:29.523229360
2024-05-01 00:19:31.960758686
2024-05-01 00:19:33.362668037
2024-05-01 00:23:00.909561396
2024-05-01 00:24:02.459711313
2024-05-01 00:24:13.921437740
2024-05-01 00:31:31.751643896
2024-05-01 00:32:20.772274733
2024-05-01 00:41:43.624324799
2024-05-01 00:41:45.533877373
2024-05-01 00:41:54.961613178
2024-05-01 00:44:16.153826952
2024-05-01 00:44:30.060593605
2024-05-01 00:46:04.451344728
2024-05-01 00:46:33.285644770
2024-05-01 00:46:47.525832415
2024-05-01 00:49:34.062276840
2024-05-01 00:50:26.086251974
2024-05-01 00:52:13.528051615
2024-05-01 00:52:30.978861332
2024-05-01 00:53:49.658190012
2024-05-01 00:54:17.123789787
2024-05-01 00:56:33.493850708
2024-05-01 00:57:39.528265475
2024-05-01 00:58:33.636822462
2024-05-01 01:01:43.312204123
2024-05-01 01:02:38.123825073
2024-05-01 01:03:02.445255995
2024-05-01 01:07:40.949139118
2024-05-01 01:07:58.799597740
2024-05-01 01:11:17.686402559
2024-05-01 01:12:41.629430532
2024-05-01 01:13:09.927102804
2024-05-01 01:13:16.966255426
2024-05-01 01:13:58.651192904
2024-05-01 01:15:21.159842014
2024-05-01 01:16:29.573894024
2024-05-01 01:17:05.422385931
2024-05-01 01:21:09.025449276
2024-05-01 01:22:04.282882929
2024-05-01 01:22:17.467650175
2024-05-01 01:23:37.335282087
2024-05-01 01:28:48.530731201
2024-05-01 01:31:13.888437986
2024-05-01 01:32:17.669413090
2024-05-01 01:33:30.660130262
2024-05-01 01:35:01.460015297
2024-05-01 01:38:16.008985043
2024-05-01 01:39:00.706279993
2024-05-01 01:39:54.436601400
2024-05-01 01:40:36.048888206
2024-05-01 01:43:33.423850536
2024-05-01 01:50:51.842717171
2024-05-01 01:55:02.431912184
2024-05-01 01:55:14.757586002
2024-05-01 01:58:22.022141457
2024-05-01 01:58:56.285130501
2024-05-01 02:01:56.619153976
2024-05-01 02:05:01.327270269
2024-05-01 02:06:07.431032658
2024-05-01 02:07:57.782600880
2024-05-01 02:08:52.656026602
2024-05-01 02:09:54.175559044
2024-05-01 02:10:52.060475826
2024-05-01 02:12:10.564080715
2024-05-01 02:13:00.274588108
2024-05-01 02:15:33.395614862
2024-05-01 02:15:34.645360231
2024-05-01 02:16:19.830113888
2024-05-01 02:17:18.192453623
2024-05-01 02:17:36.898170233
2024-05-01 02:18:52.676647902
2024-05-01 02:19:17.408774853
2024-05-01 02:19:52.536865233
2024-05-01 02:22:34.194276094
2024-05-01 02:27:53.089044333
2024-05-01 02:28:43.036525726
2024-05-01 02:30:02.598025799
2024-05-01 02:30:25.234993219
2024-05-01 02:31:41.549245596
2024-05-01 02:34:56.657044411
2024-05-01 02:38:11.158614397
2024-05-01 02:39:55.591375589
2024-05-01 02:40:03.236217022
2024-05-01 02:40:18.472897768
2024-05-01 02:41:02.602432728
2024-05-01 02:42:13.875045776
2024-05-01 02:42:15.709869862
2024-05-01 02:43:39.620382547
2024-05-01 02:48:26.301589966
2024-05-01 02:48:35.813245535
2024-05-01 02:50:32.045427322
2024-05-01 02:50:45.885100126
2024-05-01 02:51:34.214842558
2024-05-01 02:52:27.370407343
2024-05-01 02:52:54.585723162
2024-05-01 02:55:43.443923473
2024-05-01 02:55:59.627932787
2024-05-01 02:56:21.827733994
2024-05-01 02:56:33.552817345
2024-05-01 02:59:18.138851404
2024-05-01 03:00:56.593104124
2024-05-01 03:02:23.787919044
2024-05-01 03:03:03.851862907
2024-05-01 03:03:32.953685284
2024-05-01 03:04:58.839222193
2024-05-01 03:07:50.012489796
2024-05-01 03:07:57.405286789
2024-05-01 03:09:49.113251209
2024-05-01 03:10:02.108634949
2024-05-01 03:11:43.040716887
2024-05-01 03:13:30.769934177
2024-05-01 03:13:49.684164047
2024-05-01 03:14:58.003756523
2024-05-01 03:15:10.046392441
2024-05-01 03:17:07.839076996
2024-05-01 03:18:07.688421965
2024-05-01 03:19:45.843017101
2024-05-01 03:20:21.319200754
2024-05-01 03:20:30.873262167
2024-05-01 03:24:31.926171064
2024-05-01 03:25:29.101867437
2024-05-01 03:25:59.682585955
2024-05-01 03:28:54.748751879
2024-05-01 03:31:21.327231646
2024-05-01 03:33:05.496923208
2024-05-01 03:33:51.275904894
2024-05-01 03:37:26.457557917
2024-05-01 03:37:27.442843437
2024-05-01 03:37:28.173673630
2024-05-01 03:38:50.044378042
2024-05-01 03:39:18.241989136
2024-05-01 03:40:18.210279465
2024-05-01 03:40:54.362329960
2024-05-01 03:44:18.648583651
2024-05-01 03:46:11.556326389
2024-05-01 03:47:51.064665794
2024-05-01 03:48:28.376618385
2024-05-01 03:48:43.709676743
2024-05-01 03:49:00.831677914
2024-05-01 03:49:22.792853594
2024-05-01 03:49:38.791266441
2024-05-01 03:49:45.384030819
2024-05-01 03:49:45.429765463
2024-05-01 03:51:29.804763556
2024-05-01 03:52:26.471355438
2024-05-01 03:54:09.776815653
2024-05-01 03:54:36.107818365
2024-05-01 03:58:14.691692829
2024-05-01 03:58:41.379843473
2024-05-01 03:59:50.335727692
2024-05-01 04:01:09.159897327
2024-05-01 04:01:42.774751902
2024-05-01 04:03:26.359785795
2024-05-01 04:04:35.571593523
2024-05-01 04:05:01.147174597
2024-05-01 04:08:03.384869814
2024-05-01 04:09:13.223454952
2024-05-01 04:09:47.935121775
2024-05-01 04:09:51.327218533
2024-05-01 04:14:25.062952280
2024-05-01 04:16:53.085308313
2024-05-01 04:19:05.513337850
2024-05-01 04:21:10.727208853
2024-05-01 04:21:57.810478210
2024-05-01 04:22:22.957606792
2024-05-01 04:24:44.655951500
2024-05-01 04:25:53.827340126
